FID	IID	Y1
HG00265	HG00265	0
HG00266	HG00266	0
HG00267	HG00267	0
HG00268	HG00268	0
HG00269	HG00269	0
HG00271	HG00271	0
HG00272	HG00272	0
HG00273	HG00273	0
HG00274	HG00274	0
HG00275	HG00275	0
HG00276	HG00276	0
HG00277	HG00277	0
HG00278	HG00278	0
HG00280	HG00280	0
HG00281	HG00281	0
HG00282	HG00282	0
HG00284	HG00284	0
HG00285	HG00285	0
HG00288	HG00288	0
HG00290	HG00290	0
HG00304	HG00304	0
HG00306	HG00306	0
HG00308	HG00308	0
HG00309	HG00309	0
HG00310	HG00310	0
HG00311	HG00311	0
HG00313	HG00313	0
HG00315	HG00315	0
HG00318	HG00318	0
HG00319	HG00319	0
HG00320	HG00320	0
HG00321	HG00321	0
HG00323	HG00323	0
HG00324	HG00324	0
HG00325	HG00325	0
HG00326	HG00326	0
HG00327	HG00327	0
HG00328	HG00328	0
HG00329	HG00329	0
HG00330	HG00330	0
HG00331	HG00331	0
HG00332	HG00332	0
HG00334	HG00334	0
HG00335	HG00335	0
HG00336	HG00336	0
HG00337	HG00337	0
HG00338	HG00338	0
HG00339	HG00339	0
HG00341	HG00341	0
HG00342	HG00342	0
HG00343	HG00343	0
HG00344	HG00344	0
HG00345	HG00345	0
HG00346	HG00346	0
HG00349	HG00349	0
HG00350	HG00350	0
HG00351	HG00351	0
HG00353	HG00353	0
HG00355	HG00355	0
HG00356	HG00356	0
HG00357	HG00357	0
HG00358	HG00358	0
HG00360	HG00360	0
HG00361	HG00361	0
HG00362	HG00362	0
HG00364	HG00364	0
HG00365	HG00365	0
HG00366	HG00366	0
HG00367	HG00367	0
HG00368	HG00368	0
HG00369	HG00369	0
HG00371	HG00371	0
HG00372	HG00372	0
HG00373	HG00373	0
HG00375	HG00375	0
HG00376	HG00376	0
HG00378	HG00378	0
HG00379	HG00379	0
HG00380	HG00380	0
HG00381	HG00381	0
HG00382	HG00382	0
HG00383	HG00383	0
HG00384	HG00384	0
HG00403	HG00403	0
HG00404	HG00404	0
HG00405	HG00405	0
HG00406	HG00406	0
HG00407	HG00407	0
HG00408	HG00408	0
HG00409	HG00409	0
HG00410	HG00410	0
HG00418	HG00418	0
HG00419	HG00419	0
HG00420	HG00420	0
HG00421	HG00421	0
HG00422	HG00422	0
HG00423	HG00423	0
HG00427	HG00427	0
HG00428	HG00428	0
HG00429	HG00429	0
HG00436	HG00436	0
HG00437	HG00437	0
HG00438	HG00438	0
HG00442	HG00442	0
HG00443	HG00443	0
HG00444	HG00444	0
HG00445	HG00445	0
HG00446	HG00446	0
HG00447	HG00447	0
HG00448	HG00448	0
HG00449	HG00449	0
HG00450	HG00450	1
HG00451	HG00451	0
HG00452	HG00452	1
HG00453	HG00453	0
HG00457	HG00457	0
HG00458	HG00458	0
HG00459	HG00459	0
HG00463	HG00463	0
HG00464	HG00464	0
HG00465	HG00465	0
HG00472	HG00472	0
HG00473	HG00473	0
HG00474	HG00474	0
HG00475	HG00475	0
HG00476	HG00476	0
HG00477	HG00477	0
HG00478	HG00478	0
HG00479	HG00479	0
HG00480	HG00480	0
HG00500	HG00500	0
HG00501	HG00501	0
HG00502	HG00502	0
HG00512	HG00512	0
HG00513	HG00513	0
HG00514	HG00514	0
HG00524	HG00524	0
HG00525	HG00525	0
HG00526	HG00526	0
HG00530	HG00530	0
HG00531	HG00531	0
HG00532	HG00532	0
HG00533	HG00533	0
HG00534	HG00534	0
HG00535	HG00535	0
HG00536	HG00536	0
HG00537	HG00537	0
HG00538	HG00538	0
HG00542	HG00542	0
HG00543	HG00543	0
HG00544	HG00544	0
HG00551	HG00551	0
HG00552	HG00552	0
HG00553	HG00553	0
HG00554	HG00554	0
HG00555	HG00555	0
HG00556	HG00556	0
HG00557	HG00557	0
HG00558	HG00558	0
HG00559	HG00559	0
HG00560	HG00560	1
HG00561	HG00561	0
HG00565	HG00565	0
HG00566	HG00566	0
HG00567	HG00567	0
HG00577	HG00577	0
HG00578	HG00578	0
HG00579	HG00579	0
HG00580	HG00580	0
HG00581	HG00581	0
HG00582	HG00582	0
HG00583	HG00583	0
HG00584	HG00584	0
HG00585	HG00585	0
HG00589	HG00589	0
HG00590	HG00590	0
HG00591	HG00591	0
HG00592	HG00592	0
HG00593	HG00593	0
HG00594	HG00594	0
HG00595	HG00595	0
HG00596	HG00596	0
HG00597	HG00597	0
HG00598	HG00598	0
HG00599	HG00599	0
HG00607	HG00607	0
HG00608	HG00608	0
HG00609	HG00609	0
HG00610	HG00610	0
HG00611	HG00611	0
HG00612	HG00612	0
HG00613	HG00613	0
HG00614	HG00614	0
HG00615	HG00615	0
HG00619	HG00619	0
HG00620	HG00620	0
HG00621	HG00621	0
HG00622	HG00622	0
HG00623	HG00623	0
HG00625	HG00625	0
HG00626	HG00626	0
HG00627	HG00627	0
HG00628	HG00628	0
HG00629	HG00629	0
HG00630	HG00630	0
HG00631	HG00631	0
HG00632	HG00632	0
HG00634	HG00634	0
HG00635	HG00635	0
HG00636	HG00636	0
HG00637	HG00637	0
HG00638	HG00638	0
HG00639	HG00639	0
HG00640	HG00640	0
HG00641	HG00641	0
HG00642	HG00642	0
HG00650	HG00650	0
HG00651	HG00651	0
HG00652	HG00652	0
HG00653	HG00653	0
HG00654	HG00654	0
HG00655	HG00655	0
HG00656	HG00656	0
HG00657	HG00657	0
HG00658	HG00658	0
HG00662	HG00662	0
HG00663	HG00663	0
HG00664	HG00664	0
HG00671	HG00671	0
HG00672	HG00672	0
HG00673	HG00673	0
HG00674	HG00674	0
HG00675	HG00675	0
HG00683	HG00683	0
HG00684	HG00684	0
HG00685	HG00685	0
HG00689	HG00689	0
HG00690	HG00690	0
HG00691	HG00691	0
HG00692	HG00692	0
HG00693	HG00693	0
HG00694	HG00694	0
HG00698	HG00698	0
HG00699	HG00699	0
HG00700	HG00700	0
HG00701	HG00701	0
HG00702	HG00702	0
HG00703	HG00703	0
HG00704	HG00704	0
HG00705	HG00705	0
HG00706	HG00706	0
HG00707	HG00707	0
HG00708	HG00708	0
HG00709	HG00709	0
HG00717	HG00717	0
HG00728	HG00728	0
HG00729	HG00729	0
HG00731	HG00731	0
HG00732	HG00732	0
HG00733	HG00733	0
HG00734	HG00734	0
HG00735	HG00735	0
HG00736	HG00736	0
HG00737	HG00737	0
HG00738	HG00738	0
HG00739	HG00739	0
HG00740	HG00740	0
HG00741	HG00741	0
HG00742	HG00742	0
HG00743	HG00743	0
HG00759	HG00759	0
HG00766	HG00766	0
HG00844	HG00844	0
HG00851	HG00851	0
HG00864	HG00864	0
HG00867	HG00867	0
HG00879	HG00879	0
HG00881	HG00881	0
HG00956	HG00956	0
HG00978	HG00978	0
HG00982	HG00982	0
HG01028	HG01028	0
HG01029	HG01029	0
HG01031	HG01031	0
HG01046	HG01046	0
HG01047	HG01047	0
HG01048	HG01048	0
HG01049	HG01049	0
HG01050	HG01050	0
HG01051	HG01051	0
HG01052	HG01052	1
HG01053	HG01053	0
HG01054	HG01054	0
HG01055	HG01055	0
HG01056	HG01056	0
HG01058	HG01058	0
HG01060	HG01060	0
HG01061	HG01061	0
HG01062	HG01062	0
HG01063	HG01063	0
HG01064	HG01064	0
HG01066	HG01066	0
HG01067	HG01067	0
HG01068	HG01068	0
HG01069	HG01069	0
HG01070	HG01070	0
HG01071	HG01071	0
HG01072	HG01072	0
HG01073	HG01073	0
HG01074	HG01074	0
HG01075	HG01075	0
HG01077	HG01077	0
HG01079	HG01079	0
HG01080	HG01080	0
HG01081	HG01081	0
HG01082	HG01082	0
HG01083	HG01083	0
HG01084	HG01084	0
HG01085	HG01085	0
HG01086	HG01086	0
HG01087	HG01087	0
HG01088	HG01088	0
HG01089	HG01089	0
HG01092	HG01092	0
HG01094	HG01094	1
HG01095	HG01095	0
HG01096	HG01096	0
HG01097	HG01097	0
HG01098	HG01098	0
HG01099	HG01099	0
HG01100	HG01100	0
HG01101	HG01101	0
HG01102	HG01102	0
HG01103	HG01103	0
HG01104	HG01104	0
HG01105	HG01105	0
HG01106	HG01106	0
HG01107	HG01107	0
HG01108	HG01108	0
HG01109	HG01109	0
HG01110	HG01110	0
HG01111	HG01111	0
HG01112	HG01112	0
HG01113	HG01113	0
HG01114	HG01114	0
HG01119	HG01119	0
HG01121	HG01121	0
HG01122	HG01122	0
HG01124	HG01124	0
HG01125	HG01125	0
HG01126	HG01126	0
HG01130	HG01130	0
HG01131	HG01131	0
HG01133	HG01133	0
HG01134	HG01134	0
HG01135	HG01135	0
HG01136	HG01136	0
HG01137	HG01137	0
HG01138	HG01138	0
HG01139	HG01139	0
HG01140	HG01140	0
HG01141	HG01141	0
HG01142	HG01142	0
HG01148	HG01148	0
HG01149	HG01149	0
HG01150	HG01150	0
HG01161	HG01161	0
HG01162	HG01162	0
HG01164	HG01164	0
HG01167	HG01167	0
HG01168	HG01168	0
HG01169	HG01169	0
HG01170	HG01170	0
HG01171	HG01171	0
HG01172	HG01172	0
HG01173	HG01173	0
HG01174	HG01174	0
HG01175	HG01175	0
HG01176	HG01176	0
HG01177	HG01177	0
HG01178	HG01178	0
HG01182	HG01182	0
HG01183	HG01183	1
HG01184	HG01184	0
HG01187	HG01187	0
HG01188	HG01188	0
HG01189	HG01189	0
HG01190	HG01190	0
HG01191	HG01191	0
HG01192	HG01192	0
HG01197	HG01197	0
HG01198	HG01198	0
HG01199	HG01199	0
HG01200	HG01200	0
HG01204	HG01204	0
HG01205	HG01205	0
HG01206	HG01206	0
HG01241	HG01241	0
HG01242	HG01242	1
HG01243	HG01243	0
HG01247	HG01247	1
HG01248	HG01248	0
HG01249	HG01249	0
HG01250	HG01250	0
HG01251	HG01251	0
HG01252	HG01252	0
HG01253	HG01253	0
HG01254	HG01254	0
HG01255	HG01255	0
HG01256	HG01256	0
HG01257	HG01257	0
HG01258	HG01258	0
HG01259	HG01259	0
HG01260	HG01260	0
HG01261	HG01261	0
HG01269	HG01269	0
HG01271	HG01271	0
HG01272	HG01272	0
HG01273	HG01273	0
HG01274	HG01274	0
HG01275	HG01275	0
HG01276	HG01276	0
HG01277	HG01277	0
HG01278	HG01278	0
HG01279	HG01279	0
HG01280	HG01280	0
HG01281	HG01281	0
HG01284	HG01284	1
HG01286	HG01286	0
HG01302	HG01302	0
HG01303	HG01303	0
HG01305	HG01305	0
HG01308	HG01308	0
HG01311	HG01311	0
HG01312	HG01312	0
HG01323	HG01323	0
HG01325	HG01325	0
HG01326	HG01326	0
HG01334	HG01334	0
HG01341	HG01341	1
HG01342	HG01342	0
HG01343	HG01343	0
HG01344	HG01344	0
HG01345	HG01345	0
HG01346	HG01346	0
HG01347	HG01347	0
HG01348	HG01348	0
HG01349	HG01349	0
HG01350	HG01350	0
HG01351	HG01351	0
HG01352	HG01352	0
HG01353	HG01353	0
HG01354	HG01354	0
HG01355	HG01355	0
HG01356	HG01356	0
HG01357	HG01357	0
HG01358	HG01358	0
HG01359	HG01359	0
HG01360	HG01360	0
HG01361	HG01361	0
HG01362	HG01362	0
HG01363	HG01363	0
HG01365	HG01365	0
HG01366	HG01366	0
HG01367	HG01367	0
HG01369	HG01369	1
HG01372	HG01372	0
HG01374	HG01374	0
HG01375	HG01375	0
HG01376	HG01376	0
HG01377	HG01377	0
HG01378	HG01378	0
HG01379	HG01379	0
HG01383	HG01383	0
HG01384	HG01384	0
HG01385	HG01385	0
HG01389	HG01389	0
HG01390	HG01390	0
HG01391	HG01391	0
HG01392	HG01392	0
HG01393	HG01393	0
HG01395	HG01395	0
HG01396	HG01396	0
HG01398	HG01398	0
HG01402	HG01402	0
HG01403	HG01403	0
HG01405	HG01405	0
HG01412	HG01412	0
HG01413	HG01413	0
HG01414	HG01414	0
HG01431	HG01431	0
HG01432	HG01432	0
HG01433	HG01433	1
HG01435	HG01435	0
HG01437	HG01437	0
HG01438	HG01438	0
HG01439	HG01439	0
HG01440	HG01440	0
HG01441	HG01441	0
HG01443	HG01443	0
HG01444	HG01444	0
HG01447	HG01447	0
HG01455	HG01455	0
HG01456	HG01456	0
HG01457	HG01457	0
HG01459	HG01459	0
HG01461	HG01461	0
HG01462	HG01462	0
HG01463	HG01463	0
HG01464	HG01464	0
HG01465	HG01465	0
HG01466	HG01466	0
HG01468	HG01468	0
HG01474	HG01474	0
HG01479	HG01479	0
HG01485	HG01485	0
HG01486	HG01486	0
HG01488	HG01488	0
HG01489	HG01489	0
HG01490	HG01490	0
HG01491	HG01491	0
HG01492	HG01492	0
HG01493	HG01493	0
HG01494	HG01494	0
HG01495	HG01495	0
HG01496	HG01496	0
HG01497	HG01497	0
HG01498	HG01498	0
HG01499	HG01499	0
HG01500	HG01500	0
HG01501	HG01501	0
HG01502	HG01502	0
HG01503	HG01503	0
HG01504	HG01504	0
HG01505	HG01505	1
HG01506	HG01506	0
HG01507	HG01507	0
HG01508	HG01508	0
HG01509	HG01509	0
HG01510	HG01510	0
HG01511	HG01511	0
HG01512	HG01512	0
HG01513	HG01513	0
HG01514	HG01514	0
HG01515	HG01515	0
HG01516	HG01516	0
HG01517	HG01517	0
HG01518	HG01518	0
HG01519	HG01519	0
HG01520	HG01520	0
HG01521	HG01521	0
HG01522	HG01522	0
HG01523	HG01523	0
HG01524	HG01524	0
HG01525	HG01525	0
HG01526	HG01526	0
HG01527	HG01527	0
HG01528	HG01528	0
HG01529	HG01529	0
HG01530	HG01530	0
HG01531	HG01531	0
HG01532	HG01532	0
HG01536	HG01536	0
HG01537	HG01537	0
HG01538	HG01538	0
HG01550	HG01550	0
HG01551	HG01551	0
HG01552	HG01552	0
HG01556	HG01556	0
HG01565	HG01565	0
HG01566	HG01566	0
HG01567	HG01567	1
HG01571	HG01571	0
HG01572	HG01572	0
HG01573	HG01573	0
HG01577	HG01577	0
HG01578	HG01578	0
HG01579	HG01579	0
HG01583	HG01583	0
HG01586	HG01586	0
HG01589	HG01589	0
HG01593	HG01593	1
HG01595	HG01595	0
HG01596	HG01596	0
HG01597	HG01597	0
HG01598	HG01598	0
HG01599	HG01599	0
HG01600	HG01600	0
HG01601	HG01601	0
HG01602	HG01602	0
HG01603	HG01603	0
HG01604	HG01604	0
HG01605	HG01605	0
HG01606	HG01606	0
HG01607	HG01607	0
HG01608	HG01608	0
HG01609	HG01609	0
HG01610	HG01610	0
HG01611	HG01611	0
HG01612	HG01612	0
HG01613	HG01613	0
HG01614	HG01614	0
HG01615	HG01615	0
HG01616	HG01616	0
HG01617	HG01617	0
HG01618	HG01618	0
HG01619	HG01619	0
HG01620	HG01620	0
HG01621	HG01621	0
HG01622	HG01622	0
HG01623	HG01623	0
HG01624	HG01624	0
HG01625	HG01625	0
HG01626	HG01626	0
HG01627	HG01627	0
HG01628	HG01628	0
HG01629	HG01629	0
HG01630	HG01630	0
HG01631	HG01631	0
HG01632	HG01632	0
HG01633	HG01633	0
HG01667	HG01667	0
HG01668	HG01668	0
HG01669	HG01669	0
HG01670	HG01670	0
HG01671	HG01671	0
HG01672	HG01672	0
HG01673	HG01673	0
HG01674	HG01674	0
HG01675	HG01675	0
HG01676	HG01676	0
HG01677	HG01677	0
HG01678	HG01678	0
HG01679	HG01679	0
HG01680	HG01680	0
HG01681	HG01681	0
HG01682	HG01682	0
HG01683	HG01683	0
HG01684	HG01684	0
HG01685	HG01685	0
HG01686	HG01686	0
HG01687	HG01687	0
HG01694	HG01694	0
HG01695	HG01695	0
HG01696	HG01696	0
HG01697	HG01697	0
HG01698	HG01698	0
HG01699	HG01699	1
HG01700	HG01700	0
HG01701	HG01701	0
HG01702	HG01702	0
HG01703	HG01703	1
HG01704	HG01704	0
HG01705	HG01705	0
HG01706	HG01706	0
HG01707	HG01707	0
HG01708	HG01708	0
HG01709	HG01709	0
HG01710	HG01710	0
HG01711	HG01711	0
HG01746	HG01746	0
HG01747	HG01747	0
HG01748	HG01748	0
HG01755	HG01755	0
HG01756	HG01756	0
HG01757	HG01757	0
HG01761	HG01761	0
HG01762	HG01762	0
HG01763	HG01763	0
HG01765	HG01765	0
HG01766	HG01766	0
HG01767	HG01767	0
HG01768	HG01768	0
HG01770	HG01770	0
HG01771	HG01771	0
HG01772	HG01772	0
HG01773	HG01773	0
HG01774	HG01774	0
HG01775	HG01775	0
HG01776	HG01776	0
HG01777	HG01777	0
HG01778	HG01778	0
HG01779	HG01779	0
HG01780	HG01780	0
HG01781	HG01781	0
HG01782	HG01782	0
HG01783	HG01783	0
HG01784	HG01784	0
HG01785	HG01785	0
HG01786	HG01786	0
HG01789	HG01789	0
HG01790	HG01790	0
HG01791	HG01791	0
HG01794	HG01794	0
HG01795	HG01795	0
HG01796	HG01796	0
HG01797	HG01797	0
HG01798	HG01798	0
HG01799	HG01799	0
HG01800	HG01800	0
HG01801	HG01801	0
HG01802	HG01802	0
HG01804	HG01804	0
HG01805	HG01805	0
HG01806	HG01806	0
HG01807	HG01807	0
HG01808	HG01808	0
HG01809	HG01809	0
HG01810	HG01810	0
HG01811	HG01811	0
HG01812	HG01812	0
HG01813	HG01813	0
HG01815	HG01815	0
HG01816	HG01816	0
HG01817	HG01817	0
HG01840	HG01840	0
HG01841	HG01841	0
HG01842	HG01842	0
HG01843	HG01843	0
HG01844	HG01844	0
HG01845	HG01845	0
HG01846	HG01846	0
HG01847	HG01847	0
HG01848	HG01848	0
HG01849	HG01849	0
HG01850	HG01850	0
HG01851	HG01851	1
HG01852	HG01852	0
HG01853	HG01853	0
HG01855	HG01855	0
HG01857	HG01857	0
HG01858	HG01858	0
HG01859	HG01859	0
HG01860	HG01860	0
HG01861	HG01861	0
HG01862	HG01862	0
HG01863	HG01863	0
HG01864	HG01864	0
HG01865	HG01865	0
HG01866	HG01866	0
HG01867	HG01867	0
HG01868	HG01868	0
HG01869	HG01869	0
HG01870	HG01870	0
HG01871	HG01871	0
HG01872	HG01872	0
HG01873	HG01873	0
HG01874	HG01874	0
HG01878	HG01878	0
HG01879	HG01879	0
HG01880	HG01880	0
HG01881	HG01881	0
HG01882	HG01882	1
HG01883	HG01883	0
HG01884	HG01884	0
HG01885	HG01885	0
HG01886	HG01886	0
HG01887	HG01887	0
HG01888	HG01888	0
HG01889	HG01889	0
HG01890	HG01890	0
HG01891	HG01891	0
HG01892	HG01892	0
HG01893	HG01893	0
HG01894	HG01894	0
HG01895	HG01895	0
HG01896	HG01896	0
HG01897	HG01897	0
HG01898	HG01898	0
HG01912	HG01912	0
HG01914	HG01914	0
HG01915	HG01915	0
HG01916	HG01916	0
HG01917	HG01917	0
HG01918	HG01918	0
HG01919	HG01919	0
HG01920	HG01920	0
HG01921	HG01921	0
HG01922	HG01922	0
HG01923	HG01923	0
HG01924	HG01924	0
HG01925	HG01925	1
HG01926	HG01926	0
HG01927	HG01927	0
HG01928	HG01928	0
HG01932	HG01932	0
HG01933	HG01933	0
HG01934	HG01934	0
HG01935	HG01935	0
HG01936	HG01936	0
HG01937	HG01937	0
HG01938	HG01938	0
HG01939	HG01939	0
HG01940	HG01940	0
HG01941	HG01941	0
HG01942	HG01942	0
HG01943	HG01943	0
HG01944	HG01944	0
HG01945	HG01945	0
HG01946	HG01946	0
HG01947	HG01947	0
HG01948	HG01948	0
HG01949	HG01949	0
HG01950	HG01950	0
HG01951	HG01951	0
HG01952	HG01952	0
HG01953	HG01953	0
HG01954	HG01954	0
HG01955	HG01955	0
HG01956	HG01956	0
HG01958	HG01958	0
HG01959	HG01959	0
HG01960	HG01960	0
HG01961	HG01961	1
HG01965	HG01965	0
HG01967	HG01967	0
HG01968	HG01968	0
HG01969	HG01969	1
HG01970	HG01970	0
HG01971	HG01971	0
HG01972	HG01972	0
HG01973	HG01973	0
HG01974	HG01974	0
HG01975	HG01975	0
HG01976	HG01976	0
HG01977	HG01977	0
HG01978	HG01978	0
HG01979	HG01979	0
HG01980	HG01980	0
HG01981	HG01981	0
HG01982	HG01982	0
HG01983	HG01983	0
HG01984	HG01984	0
HG01985	HG01985	0
HG01986	HG01986	0
HG01987	HG01987	1
HG01988	HG01988	0
HG01989	HG01989	0
HG01990	HG01990	1
HG01991	HG01991	0
HG01992	HG01992	0
HG01993	HG01993	0
HG01997	HG01997	0
HG01998	HG01998	0
HG02002	HG02002	0
HG02003	HG02003	0
HG02004	HG02004	0
HG02006	HG02006	0
HG02008	HG02008	0
HG02009	HG02009	0
HG02010	HG02010	0
HG02011	HG02011	0
HG02012	HG02012	0
HG02013	HG02013	0
HG02014	HG02014	0
HG02015	HG02015	0
HG02016	HG02016	0
HG02017	HG02017	0
HG02018	HG02018	0
HG02019	HG02019	0
HG02020	HG02020	0
HG02023	HG02023	0
HG02024	HG02024	0
HG02025	HG02025	0
HG02026	HG02026	0
HG02027	HG02027	0
HG02028	HG02028	0
HG02029	HG02029	0
HG02030	HG02030	0
HG02031	HG02031	0
HG02032	HG02032	0
HG02035	HG02035	0
HG02040	HG02040	0
HG02047	HG02047	0
HG02048	HG02048	0
HG02049	HG02049	0
HG02050	HG02050	0
HG02051	HG02051	0
HG02052	HG02052	0
HG02053	HG02053	0
HG02054	HG02054	0
HG02055	HG02055	0
HG02056	HG02056	0
HG02057	HG02057	0
HG02058	HG02058	0
HG02059	HG02059	0
HG02060	HG02060	0
HG02061	HG02061	0
HG02064	HG02064	0
HG02067	HG02067	0
HG02068	HG02068	0
HG02069	HG02069	0
HG02070	HG02070	0
HG02071	HG02071	0
HG02072	HG02072	0
HG02073	HG02073	0
HG02074	HG02074	0
HG02075	HG02075	0
HG02076	HG02076	0
HG02077	HG02077	0
HG02078	HG02078	0
HG02079	HG02079	0
HG02080	HG02080	0
HG02081	HG02081	0
HG02082	HG02082	0
HG02083	HG02083	0
HG02084	HG02084	0
HG02085	HG02085	0
HG02086	HG02086	0
HG02087	HG02087	0
HG02088	HG02088	0
HG02089	HG02089	0
HG02090	HG02090	0
HG02091	HG02091	0
HG02095	HG02095	0
HG02102	HG02102	0
HG02104	HG02104	0
HG02105	HG02105	0
HG02106	HG02106	0
HG02107	HG02107	0
HG02108	HG02108	0
HG02111	HG02111	0
HG02113	HG02113	0
HG02116	HG02116	0
HG02120	HG02120	0
HG02121	HG02121	0
HG02122	HG02122	0
HG02126	HG02126	0
HG02127	HG02127	0
HG02128	HG02128	0
HG02129	HG02129	0
HG02130	HG02130	1
HG02131	HG02131	0
HG02132	HG02132	0
HG02133	HG02133	0
HG02134	HG02134	0
HG02135	HG02135	0
HG02136	HG02136	0
HG02137	HG02137	0
HG02138	HG02138	0
HG02139	HG02139	0
HG02140	HG02140	0
HG02141	HG02141	0
HG02142	HG02142	0
HG02143	HG02143	0
HG02144	HG02144	0
HG02145	HG02145	0
HG02146	HG02146	0
HG02147	HG02147	0
HG02148	HG02148	0
HG02150	HG02150	0
HG02151	HG02151	0
HG02152	HG02152	0
HG02153	HG02153	0
HG02154	HG02154	0
HG02155	HG02155	0
HG02156	HG02156	0
HG02164	HG02164	0
HG02165	HG02165	0
HG02166	HG02166	0
HG02178	HG02178	0
HG02179	HG02179	0
HG02180	HG02180	0
HG02181	HG02181	0
HG02182	HG02182	0
HG02184	HG02184	0
HG02185	HG02185	0
HG02186	HG02186	0
HG02187	HG02187	0
HG02188	HG02188	0
HG02190	HG02190	0
HG02215	HG02215	0
HG02219	HG02219	0
HG02220	HG02220	0
HG02221	HG02221	0
HG02222	HG02222	0
HG02223	HG02223	0
HG02224	HG02224	0
HG02225	HG02225	0
HG02229	HG02229	0
HG02230	HG02230	0
HG02231	HG02231	0
HG02232	HG02232	0
HG02233	HG02233	0
HG02234	HG02234	0
HG02235	HG02235	0
HG02236	HG02236	0
HG02237	HG02237	0
HG02238	HG02238	0
HG02239	HG02239	1
HG02240	HG02240	0
HG02250	HG02250	0
HG02252	HG02252	0
HG02253	HG02253	0
HG02255	HG02255	0
HG02256	HG02256	0
HG02257	HG02257	0
HG02258	HG02258	0
HG02259	HG02259	0
HG02260	HG02260	0
HG02261	HG02261	0
HG02262	HG02262	0
HG02265	HG02265	0
HG02266	HG02266	0
HG02271	HG02271	0
HG02272	HG02272	0
HG02273	HG02273	0
HG02274	HG02274	0
HG02275	HG02275	0
HG02277	HG02277	0
HG02278	HG02278	0
HG02279	HG02279	1
HG02280	HG02280	1
HG02281	HG02281	0
HG02282	HG02282	0
HG02283	HG02283	0
HG02284	HG02284	0
HG02285	HG02285	0
HG02286	HG02286	0
HG02287	HG02287	0
HG02291	HG02291	0
HG02292	HG02292	0
HG02293	HG02293	0
HG02298	HG02298	0
HG02299	HG02299	0
HG02300	HG02300	0
HG02301	HG02301	0
HG02302	HG02302	0
HG02303	HG02303	0
HG02304	HG02304	0
HG02307	HG02307	0
HG02308	HG02308	0
HG02309	HG02309	0
HG02312	HG02312	0
HG02314	HG02314	0
HG02315	HG02315	0
HG02316	HG02316	0
HG02317	HG02317	0
HG02318	HG02318	0
HG02321	HG02321	0
HG02322	HG02322	0
HG02323	HG02323	0
HG02325	HG02325	0
HG02330	HG02330	0
HG02332	HG02332	0
HG02334	HG02334	1
HG02337	HG02337	0
HG02339	HG02339	0
HG02343	HG02343	0
HG02345	HG02345	0
HG02348	HG02348	0
HG02351	HG02351	0
HG02353	HG02353	0
HG02355	HG02355	0
HG02356	HG02356	0
HG02360	HG02360	0
HG02364	HG02364	0
HG02367	HG02367	0
HG02371	HG02371	0
HG02373	HG02373	0
HG02374	HG02374	0
HG02375	HG02375	0
HG02379	HG02379	0
